orig_fips,county_state,total_out_exemptions
45007,"Anderson County, South Carolina",4312
21093,"Hardin County, Kentucky",4264
01081,"Lee County, Alabama",4245
17113,"McLean County, Illinois",4245
45035,"Dorchester County, South Carolina",4242
36045,"Jefferson County, New York",4241
45091,"York County, South Carolina",4230
35049,"Santa Fe County, New Mexico",4227
37049,"Craven County, North Carolina",4215
36063,"Niagara County, New York",4206
28033,"DeSoto County, Mississippi",4202
18105,"Monroe County, Indiana",4201
40031,"Comanche County, Oklahoma",4161
04027,"Yuma County, Arizona",4155
47163,"Sullivan County, Tennessee",4149
22019,"Calcasieu Parish, Louisiana",4145
05131,"Sebastian County, Arkansas",4137
28059,"Jackson County, Mississippi",4112
13073,"Columbia County, Georgia",4111
20177,"Shawnee County, Kansas",4087
19163,"Scott County, Iowa",4072
26145,"Saginaw County, Michigan",4071
36111,"Ulster County, New York",4044
48187,"Guadalupe County, Texas",4041
55131,"Washington County, Wisconsin",4041
04017,"Navajo County, Arizona",4030
27137,"St. Louis County, Minnesota",4027
13223,"Paulding County, Georgia",4020
20103,"Leavenworth County, Kansas",4020
34037,"Sussex County, New Jersey",4019
48257,"Kaufman County, Texas",4016
12087,"Monroe County, Florida",3970
39155,"Trumbull County, Ohio",3967
54039,"Kanawha County, West Virginia",3928
39089,"Licking County, Ohio",3914
36079,"Putnam County, New York",3907
48451,"Tom Green County, Texas",3906
36065,"Oneida County, New York",3901
17037,"DeKalb County, Illinois",3900
26005,"Allegan County, Michigan",3897
21037,"Campbell County, Kentucky",3872
53029,"Island County, Washington",3872
41003,"Benton County, Oregon",3862
22073,"Ouachita Parish, Louisiana",3849
40017,"Canadian County, Oklahoma",3847
48329,"Midland County, Texas",3808
20045,"Douglas County, Kansas",3795
24013,"Carroll County, Maryland",3783
12053,"Hernando County, Florida",3778
49005,"Cache County, Utah",3778
37147,"Pitt County, North Carolina",3773
13153,"Houston County, Georgia",3750
37127,"Nash County, North Carolina",3748
41043,"Linn County, Oregon",3713
17179,"Tazewell County, Illinois",3712
18019,"Clark County, Indiana",3711
01125,"Tuscaloosa County, Alabama",3709
06039,"Madera County, California",3709
44009,"Washington County, Rhode Island",3706
26147,"St. Clair County, Michigan",3701
17161,"Rock Island County, Illinois",3697
37097,"Iredell County, North Carolina",3681
27171,"Wright County, Minnesota",3666
37179,"Union County, North Carolina",3650
27109,"Olmsted County, Minnesota",3633
26021,"Berrien County, Michigan",3631
26115,"Monroe County, Michigan",3627
29043,"Christian County, Missouri",3613
13095,"Dougherty County, Georgia",3607
28035,"Forrest County, Mississippi",3590
49053,"Washington County, Utah",3590
28089,"Madison County, Mississippi",3575
06057,"Nevada County, California",3573
36007,"Broome County, New York",3560
51199,"York County, Virginia",3559
30063,"Missoula County, Montana",3511
23019,"Penobscot County, Maine",3499
53057,"Skagit County, Washington",3468
08014,"Broomfield County, Colorado",3463
40037,"Creek County, Oklahoma",3460
13045,"Carroll County, Georgia",3385
27141,"Sherburne County, Minnesota",3379
39023,"Clark County, Ohio",3351
45003,"Aiken County, South Carolina",3350
37151,"Randolph County, North Carolina",3337
29037,"Cass County, Missouri",3336
06101,"Sutter County, California",3328
48479,"Webb County, Texas",3316
48291,"Liberty County, Texas",3310
37159,"Rowan County, North Carolina",3299
06115,"Yuba County, California",3297
18043,"Floyd County, Indiana",3286
45077,"Pickens County, South Carolina",3283
44005,"Newport County, Rhode Island",3271
47189,"Wilson County, Tennessee",3265
48231,"Hunt County, Texas",3264
29097,"Jasper County, Missouri",3246
48135,"Ector County, Texas",3237
55035,"Eau Claire County, Wisconsin",3236
13015,"Bartow County, Georgia",3234
41053,"Polk County, Oregon",3214
13313,"Whitfield County, Georgia",3205
55105,"Rock County, Wisconsin",3186
55127,"Walworth County, Wisconsin",3168
48091,"Comal County, Texas",3157
01045,"Dale County, Alabama",3156
26075,"Jackson County, Michigan",3155
47179,"Washington County, Tennessee",3149
27019,"Carver County, Minnesota",3147
16055,"Kootenai County, Idaho",3136
13077,"Coweta County, Georgia",3128
45041,"Florence County, South Carolina",3123
01103,"Morgan County, Alabama",3122
18095,"Madison County, Indiana",3118
06023,"Humboldt County, California",3110
01003,"Baldwin County, Alabama",3109
48181,"Grayson County, Texas",3098
19013,"Black Hawk County, Iowa",3097
18035,"Delaware County, Indiana",3093
13217,"Newton County, Georgia",3085
42077,"Lehigh County, Pennsylvania",3082
40131,"Rogers County, Oklahoma",3068
37001,"Alamance County, North Carolina",3066
37037,"Chatham County, North Carolina",3046
45085,"Sumter County, South Carolina",3046
22063,"Livingston Parish, Louisiana",3045
26025,"Calhoun County, Michigan",3033
10001,"Kent County, Delaware",3032
13185,"Lowndes County, Georgia",3011
51800,"Suffolk city, Virginia",3010
34009,"Cape May County, New Jersey",3004
40145,"Wagoner County, Oklahoma",3004
41071,"Yamhill County, Oregon",3004
37191,"Wayne County, North Carolina",2999
55055,"Jefferson County, Wisconsin",2986
06069,"San Benito County, California",2970
23011,"Kennebec County, Maine",2963
34019,"Hunterdon County, New Jersey",2962
51085,"Hanover County, Virginia",2959
46103,"Pennington County, South Dakota",2955
30111,"Yellowstone County, Montana",2954
55089,"Ozaukee County, Wisconsin",2937
55027,"Dodge County, Wisconsin",2935
48409,"San Patricio County, Texas",2931
08101,"Pueblo County, Colorado",2928
19193,"Woodbury County, Iowa",2921
22115,"Vernon Parish, Louisiana",2920
16019,"Bonneville County, Idaho",2912
21029,"Bullitt County, Kentucky",2898
05045,"Faulkner County, Arkansas",2886
37045,"Cleveland County, North Carolina",2883
26121,"Muskegon County, Michigan",2846
48021,"Bastrop County, Texas",2846
16005,"Bannock County, Idaho",2843
22109,"Terrebonne Parish, Louisiana",2816
39169,"Wayne County, Ohio",2816
33009,"Grafton County, New Hampshire",2812
23001,"Androscoggin County, Maine",2800
32510,"Carson City, Nevada",2781
01069,"Houston County, Alabama",2775
39109,"Miami County, Ohio",2770
37065,"Edgecombe County, North Carolina",2769
24037,"St. Mary, Maryland",2763
15009,"Maui County, Hawaii",2761
27009,"Benton County, Minnesota",2751
01015,"Calhoun County, Alabama",2744
47113,"Madison County, Tennessee",2730
48213,"Henderson County, Texas",2721
53007,"Chelan County, Washington",2720
26087,"Lapeer County, Michigan",2705
48469,"Victoria County, Texas",2697
55063,"La Crosse County, Wisconsin",2693
17093,"Kendall County, Illinois",2685
36069,"Ontario County, New York",2684
48037,"Bowie County, Texas",2681
22057,"Lafourche Parish, Louisiana",2674
55015,"Calumet County, Wisconsin",2672
39139,"Richland County, Ohio",2669
12061,"Indian River County, Florida",2663
36109,"Tompkins County, New York",2656
39055,"Geauga County, Ohio",2651
19169,"Story County, Iowa",2639
12017,"Citrus County, Florida",2636
26037,"Clinton County, Michigan",2634
51121,"Montgomery County, Virginia",2627
42071,"Lancaster County, Pennsylvania",2624
54011,"Cabell County, West Virginia",2618
42133,"York County, Pennsylvania",2612
47009,"Blount County, Tennessee",2607
22005,"Ascension Parish, Louisiana",2604
55073,"Marathon County, Wisconsin",2602
22079,"Rapides Parish, Louisiana",2598
20061,"Geary County, Kansas",2587
05125,"Saline County, Arkansas",2561
51069,"Frederick County, Virginia",2558
29071,"Franklin County, Missouri",2556
48361,"Orange County, Texas",2549
08077,"Mesa County, Colorado",2543
28081,"Lee County, Mississippi",2539
51019,"Bedford County, Virginia",2536
36117,"Wayne County, New York",2533
47001,"Anderson County, Tennessee",2530
01095,"Marshall County, Alabama",2503
18059,"Hancock County, Indiana",2493
01051,"Elmore County, Alabama",2491
17099,"La Salle County, Illinois",2491
36075,"Oswego County, New York",2490
13255,"Spalding County, Georgia",2482
24045,"Wicomico County, Maryland",2468
42089,"Monroe County, Pennsylvania",2468
05085,"Lonoke County, Arkansas",2460
53021,"Franklin County, Washington",2458
18167,"Vigo County, Indiana",2457
26159,"Van Buren County, Michigan",2452
35061,"Valencia County, New Mexico",2442
15001,"Hawaii County, Hawaii",2427
21227,"Warren County, Kentucky",2414
05031,"Craighead County, Arkansas",2411
53015,"Cowlitz County, Washington",2404
09015,"Windham County, Connecticut",2386
55039,"Fond du Lac County, Wisconsin",2380
01113,"Russell County, Alabama",2371
40113,"Osage County, Oklahoma",2370
29021,"Buchanan County, Missouri",2363
