dest_fips,county_state,total_in_exemptions
20209,"Wyandotte County, Kansas",5341
10005,"Sussex County, Delaware",5322
34019,"Hunterdon County, New Jersey",5302
26045,"Eaton County, Michigan",5273
12017,"Citrus County, Florida",5229
27141,"Sherburne County, Minnesota",5218
48041,"Brazos County, Texas",5212
29037,"Cass County, Missouri",5209
22063,"Livingston Parish, Louisiana",5195
13153,"Houston County, Georgia",5163
06055,"Napa County, California",5078
17037,"DeKalb County, Illinois",5069
45035,"Dorchester County, South Carolina",5067
36093,"Schenectady County, New York",5062
48187,"Guadalupe County, Texas",5029
45007,"Anderson County, South Carolina",4992
13077,"Coweta County, Georgia",4978
39089,"Licking County, Ohio",4957
39173,"Wood County, Ohio",4954
37097,"Iredell County, North Carolina",4944
06031,"Kings County, California",4933
25015,"Hampshire County, Massachusetts",4925
38017,"Cass County, North Dakota",4923
51800,"Suffolk city, Virginia",4910
51003,"Albemarle County, Virginia",4902
04003,"Cochise County, Arizona",4895
27145,"Stearns County, Minnesota",4875
34041,"Warren County, New Jersey",4859
29043,"Christian County, Missouri",4853
33017,"Strafford County, New Hampshire",4844
27019,"Carver County, Minnesota",4816
19103,"Johnson County, Iowa",4737
26005,"Allegan County, Michigan",4734
26115,"Monroe County, Michigan",4708
18039,"Elkhart County, Indiana",4699
17143,"Peoria County, Illinois",4698
06025,"Imperial County, California",4683
04017,"Navajo County, Arizona",4676
28089,"Madison County, Mississippi",4668
17019,"Champaign County, Illinois",4664
51161,"Roanoke County, Virginia",4644
53029,"Island County, Washington",4629
10001,"Kent County, Delaware",4626
37135,"Orange County, North Carolina",4617
13045,"Carroll County, Georgia",4594
39099,"Mahoning County, Ohio",4550
26147,"St. Clair County, Michigan",4548
06057,"Nevada County, California",4539
35031,"McKinley County, New Mexico",4515
19113,"Linn County, Iowa",4508
35049,"Santa Fe County, New Mexico",4491
53057,"Skagit County, Washington",4473
48183,"Gregg County, Texas",4432
36079,"Putnam County, New York",4426
50007,"Chittenden County, Vermont",4414
48485,"Wichita County, Texas",4409
54003,"Berkeley County, West Virginia",4405
18157,"Tippecanoe County, Indiana",4398
48099,"Coryell County, Texas",4397
18163,"Vanderburgh County, Indiana",4371
29019,"Boone County, Missouri",4371
01081,"Lee County, Alabama",4358
36111,"Ulster County, New York",4353
47189,"Wilson County, Tennessee",4338
02090,"Fairbanks North Star Borough, Alaska",4333
28059,"Jackson County, Mississippi",4273
48397,"Rockwall County, Texas",4252
51085,"Hanover County, Virginia",4212
13059,"Clarke County, Georgia",4208
04001,"Apache County, Arizona",4204
13021,"Bibb County, Georgia",4200
48329,"Midland County, Texas",4172
24015,"Cecil County, Maryland",4166
17179,"Tazewell County, Illinois",4160
18019,"Clark County, Indiana",4158
09015,"Windham County, Connecticut",4149
13013,"Barrow County, Georgia",4148
48441,"Taylor County, Texas",4143
40131,"Rogers County, Oklahoma",4139
06101,"Sutter County, California",4119
05045,"Faulkner County, Arkansas",4101
37147,"Pitt County, North Carolina",4096
13015,"Bartow County, Georgia",4080
24037,"St. Mary, Maryland",4077
32019,"Lyon County, Nevada",4073
17113,"McLean County, Illinois",4062
21029,"Bullitt County, Kentucky",4062
41043,"Linn County, Oregon",4061
08077,"Mesa County, Colorado",4057
40031,"Comanche County, Oklahoma",4054
20103,"Leavenworth County, Kansas",4047
40145,"Wagoner County, Oklahoma",4042
44009,"Washington County, Rhode Island",4031
51770,"Roanoke city, Virginia",3964
19049,"Dallas County, Iowa",3948
21093,"Hardin County, Kentucky",3946
17167,"Sangamon County, Illinois",3927
15001,"Hawaii County, Hawaii",3925
53077,"Yakima County, Washington",3924
24009,"Calvert County, Maryland",3921
